t,cmdty,state_id,state,market_id,market_name,state_name,district_id,district_name,qty
"2024-05-02","Potato","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","14.1"
"2024-05-01","Potato","36","Telangana","4294","Erragadda(Rythu Bazar)","Telangana","536","Hyderabad","5.5"
"2024-04-30","Potato","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","9"
"2024-04-30","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","77.5"
"2024-04-30","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","372.2"
"2024-04-29","Potato","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","14.7"
"2024-04-29","Potato","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","50.3"
"2024-04-29","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","326.9"
"2024-04-29","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","160.3"
"2024-04-28","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","364.1"
"2024-04-28","Potato","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","10.3"
"2024-04-28","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","118.3"
"2024-04-27","Potato","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","13.9"
"2024-04-27","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","145.2"
"2024-04-27","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","527"
"2024-04-27","Potato","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","15.7"
"2024-04-26","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","314.1"
"2024-04-26","Potato","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","13.4"
"2024-04-26","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","113.2"
"2024-04-25","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","396.1"
"2024-04-25","Potato","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","4"
"2024-04-25","Potato","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","16.1"
"2024-04-25","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","221.9"
"2024-04-25","Potato","36","Telangana","4294","Erragadda(Rythu Bazar)","Telangana","536","Hyderabad","9.2"
"2024-04-24","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","284.9"
"2024-04-24","Potato","36","Telangana","4294","Erragadda(Rythu Bazar)","Telangana","536","Hyderabad","7.5"
"2024-04-24","Potato","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","0.5"
"2024-04-24","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","63.9"
"2024-04-24","Potato","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","20"
"2024-04-23","Potato","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","27.8"
"2024-04-23","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","142"
"2024-04-23","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","357.6"
"2024-04-22","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","106"
"2024-04-22","Potato","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","55.8"
"2024-04-22","Potato","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","13.9"
"2024-04-22","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","309.7"
"2024-04-22","Potato","36","Telangana","4294","Erragadda(Rythu Bazar)","Telangana","536","Hyderabad","4.5"
"2024-04-21","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","394.4"
"2024-04-21","Potato","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","0.5"
"2024-04-21","Potato","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","14.2"
"2024-04-21","Potato","36","Telangana","4294","Erragadda(Rythu Bazar)","Telangana","536","Hyderabad","5"
"2024-04-21","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","132"
"2024-04-20","Potato","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","2.5"
"2024-04-20","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","193.8"
"2024-04-20","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","395.3"
"2024-04-19","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","284.6"
"2024-04-19","Potato","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","14.5"
"2024-04-19","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","117.1"
"2024-04-18","Potato","36","Telangana","4294","Erragadda(Rythu Bazar)","Telangana","536","Hyderabad","4.4"
"2024-04-18","Potato","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","2"
"2024-04-18","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","501"
"2024-04-18","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","169.2"
"2024-04-17","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","93.7"
"2024-04-17","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","383.6"
"2024-04-16","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","409.7"
"2024-04-16","Potato","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","2.5"
"2024-04-16","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","125.2"
"2024-04-16","Potato","36","Telangana","4294","Erragadda(Rythu Bazar)","Telangana","536","Hyderabad","5.2"
"2024-04-15","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","218.3"
"2024-04-15","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","100.4"
