t,cmdty,state_id,state,market_id,market_name,state_name,district_id,district_name,qty
"2023-11-01","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","64.5"
"2023-10-31","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","97.9"
"2023-10-31","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","37"
"2023-10-31","Green Chilli","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","15.8"
"2023-10-30","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","50.7"
"2023-10-30","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","156.2"
"2023-10-30","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","42"
"2023-10-29","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","73.9"
"2023-10-29","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","229.6"
"2023-10-29","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","31"
"2023-10-28","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","23"
"2023-10-28","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","84.5"
"2023-10-28","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","225.1"
"2023-10-27","Green Chilli","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","20.3"
"2023-10-27","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","154.2"
"2023-10-27","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","23"
"2023-10-27","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","54.9"
"2023-10-26","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","66.2"
"2023-10-26","Green Chilli","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","17.5"
"2023-10-26","Green Chilli","36","Telangana","4294","Erragadda(Rythu Bazar)","Telangana","536","Hyderabad","3.5"
"2023-10-26","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","18"
"2023-10-26","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","184.9"
"2023-10-25","Green Chilli","36","Telangana","4294","Erragadda(Rythu Bazar)","Telangana","536","Hyderabad","3.4"
"2023-10-25","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","86.2"
"2023-10-25","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","18"
"2023-10-25","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","31.8"
"2023-10-24","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","30"
"2023-10-24","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","28.2"
"2023-10-24","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","75.5"
"2023-10-23","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","107.6"
"2023-10-22","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","135.4"
"2023-10-21","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","30"
"2023-10-21","Green Chilli","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","1"
"2023-10-21","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","150.3"
"2023-10-21","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","58.6"
"2023-10-20","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","41.3"
"2023-10-20","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","30"
"2023-10-20","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","144.6"
"2023-10-19","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","30"
"2023-10-19","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","98.6"
"2023-10-19","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","38.9"
"2023-10-18","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","36"
